X,Y,Z,Name,Description,Season,Episode,BroadcastDate,Link,,,,,,,
-123.4044079,42.4466076,0,01.10 Wildlife Images,"Dave Siddon runs Wildlife Images, an animal care compound that provides medical care and shelter for wounded and orphaned animals. The compound is home to everything from a vulture to a cougar.",1,10,6/25/90,,,,,,,,
-121.3789169,44.5834169,0,02.01 Balancing Rocks,"Field Guide heads to a remote, unmarked spot overlooking Lake Billy Chinook to find a geologic marvel. Covering a hillside, huge rock pillars are topped by a series of large balancing rocks.",2,1,1/14/91,,,,,,,,
-124.5025013,42.7543198,0,02.01 Sea Urchin Fishery,"Biologists say sea urchin divers are having a big impact on the sea lions, an endangered species. Urchins provide a fishery meeting demands for exotic seafood in places like Japan.",2,1,1/14/91,,,,,,,,
-124.0449928,44.6226666,0,02.01 Whale Tracking,"A right whale off the coast of Newfoundland is tagged with a radio transmitter, and a biologist from the Marine Science Center in Newport is able to track the whale's movements on his computer screen. Satellite technology is opening up whole new worlds of information about whales, their travels and the depth of their dives.",2,1,1/14/91,,,,,,,,
-122.8488442,45.154554,0,02.01 Woodburn Peat Bog,"Scientists discover that a marsh adjacent to Woodburn High School is an ancient peat bog. The bog has the potential to hold a treasure trove of fossilized bones from animals of the Ice Age, including camels, saber tooth tigers and giant wolves.",2,1,1/14/91,,,,,,,,
-123.0551696,46.1654154,0,02.02 Canadian Geese,"Since the 1970s, the population of western Canada geese in the Lower Columbia has been increasing. The eruption of Mount St. Helens created a new island, Fisher Island, that is a goose haven, but the Port of Portland is considering a dredging project that would destroy that habitat.",2,2,1/21/91,,,,,,,,
-121.7253898,45.3747917,0,02.02 Mountain Rescue,"The noble men and women of the Portland Mountain Rescue team patrol the steepest, roughest parts of Mt. Hood on foot. Follow the team up the mountain to the summit and witness just how dedicated the volunteers of the rescue team are. Learn why these superb winter hikers do what they do and what procedures they use when disaster strikes.",2,2,1/21/91,,,,,,,,
-124.3069472,43.3969551,0,02.02 Snowy Plover,"With increased pressure from predators and a loss of habitat caused by the introduction of European beach grass in the 1930's, the numbers of Western Snowy Plovers on the Oregon Coast have been in decline in recent years. In Coos Bay, developers and wildlife managers try to find a balance between economic growth and habitat restoration. We examine the battle to protect this sandpiper-like bird that is now listed as endangered in Oregon.",2,2,1/21/91,,,,,,,,
-123.8601332,45.2135827,0,02.03 Bats,"The bat is one of the most common creatures on earth and yet we still don't know much about it. An Dr. Steven Cross of Southern Oregon University wants to change that. Join us underground and learn a lot more about the Townsend's Big Eared Bat. These bats emerge late in the evening to forage and are swift, highly maneuverable fliers. Prey items include small moths, flies, lacewings, dung beetles, and sawflies.",2,3,1/28/91,,,,,,,,
-122.6782545,45.5315066,0,02.03 Bug Man,Rick Westcott turned his childhood obsession with insects into a career as an entomologist with the Oregon Department of agriculture. Join Dr. Westcott out in the field as well as in his Salem office as he catalogs Oregon's many lesser known residents. A colorful character with extensive knowledge Rick is a joy to listen to and learn from as he gives us a tour of Oregon's state insect collection.,2,3,1/28/91,,,,,,,,
-121.1178089,45.0564669,0,02.03 Rock Art Restoration,Many of Oregon's pictograph and petroglyph sites have damaged by by vandalism. At risk is art that has historical and mystical significance. Artist Greg Bettis has made a career of recording and restoring Northwest Native American rock art. He is a passionate advocate for preserving and protecting this resource.,2,3,1/28/91,,,,,,,,
-117.6440306,43.2045245,0,02.04 Owyhee Uplands,"Join Oregon Field Guide's Jim Newman and the BLM's Jerry Hubbard in a tour of the remote Owyhee Uplands near Jordan Valley in southeastern Oregon. They find a thunder egg, or geode, as they hike to the top of Three Fingers Rock. From the summit they take in views of wild horses below, and Mahogany Mountain and Leslie Gulch in the distance. Then they visit the scenic Painted Canyon on their return trip.",2,4,2/4/91,,,,,,,,
